Class,FPR,TPR,Thresholds,AUC
-1,0.0,0.0,inf,0.9657073115199393
-1,0.0,0.002570694087403599,0.9860673142082341,0.9657073115199393
-1,0.0,0.02313624678663239,0.9643391025899052,0.9657073115199393
-1,0.0,0.028277634961439587,0.9638101739431836,0.9657073115199393
-1,0.0,0.06683804627249357,0.9567426817365833,0.9657073115199393
-1,0.0,0.07197943444730077,0.9567047427391083,0.9657073115199393
-1,0.0,0.08226221079691516,0.9535082421251091,0.9657073115199393
-1,0.00025746652935118434,0.08226221079691516,0.9529994735611018,0.9657073115199393
-1,0.00025746652935118434,0.09768637532133675,0.9504258444342992,0.9657073115199393
-1,0.00025746652935118434,0.10282776349614396,0.949951124487622,0.9657073115199393
-1,0.00025746652935118434,0.10539845758354756,0.9498259068408147,0.9657073115199393
-1,0.00025746652935118434,0.11053984575835475,0.9495959810337933,0.9657073115199393
-1,0.00025746652935118434,0.15681233933161953,0.9398346752044973,0.9657073115199393
-1,0.00025746652935118434,0.16195372750642673,0.9382855833006266,0.9657073115199393
-1,0.00025746652935118434,0.17223650385604114,0.9325619307440862,0.9657073115199393
-1,0.00025746652935118434,0.17737789203084833,0.9316216018157067,0.9657073115199393
-1,0.0005149330587023687,0.17737789203084833,0.9201460491610554,0.9657073115199393
-1,0.0005149330587023687,0.2982005141388175,0.8642715270621104,0.9657073115199393
-1,0.000772399588053553,0.2982005141388175,0.8639906929510719,0.9657073115199393
-1,0.000772399588053553,0.3213367609254499,0.8559964941632917,0.9657073115199393
-1,0.0010298661174047373,0.3213367609254499,0.8559008746446788,0.9657073115199393
-1,0.0010298661174047373,0.3444730077120823,0.8485785059472534,0.9657073115199393
-1,0.0012873326467559218,0.3444730077120823,0.8465346950999846,0.9657073115199393
-1,0.0012873326467559218,0.35218508997429304,0.8446015463219989,0.9657073115199393
-1,0.001544799176107106,0.35218508997429304,0.8444251287523804,0.9657073115199393
-1,0.001544799176107106,0.36503856041131105,0.8369234414221829,0.9657073115199393
-1,0.001544799176107106,0.37017994858611825,0.8365081971399678,0.9657073115199393
-1,0.001544799176107106,0.390745501285347,0.8281340257968923,0.9657073115199393
-1,0.001544799176107106,0.39588688946015427,0.8279532120712699,0.9657073115199393
-1,0.001544799176107106,0.4318766066838046,0.8161934125129314,0.9657073115199393
-1,0.0018022657054582905,0.4318766066838046,0.8147678463734751,0.9657073115199393
-1,0.0018022657054582905,0.4498714652956298,0.8038002878282338,0.9657073115199393
-1,0.0020597322348094747,0.4498714652956298,0.8009610686497758,0.9657073115199393
-1,0.0020597322348094747,0.4884318766066838,0.7745755683828758,0.9657073115199393
-1,0.0020597322348094747,0.493573264781491,0.7733669207163364,0.9657073115199393
-1,0.0020597322348094747,0.506426735218509,0.7695789284965445,0.9657073115199393
-1,0.0025746652935118436,0.506426735218509,0.7692584347898048,0.9657073115199393
-1,0.0025746652935118436,0.5269922879177378,0.7509175294755943,0.9657073115199393
-1,0.0028321318228630276,0.5269922879177378,0.7497918344355282,0.9657073115199393
-1,0.0028321318228630276,0.596401028277635,0.6999589912207222,0.9657073115199393
-1,0.003089598352214212,0.596401028277635,0.6978712165239462,0.9657073115199393
-1,0.003089598352214212,0.6015424164524421,0.6940423393997803,0.9657073115199393
-1,0.0033470648815653965,0.6015424164524421,0.6931684399705249,0.9657073115199393
-1,0.0033470648815653965,0.6041131105398457,0.6903723261507746,0.9657073115199393
-1,0.003604531410916581,0.6041131105398457,0.6899807981562831,0.9657073115199393
-1,0.003604531410916581,0.6349614395886889,0.6691508846636617,0.9657073115199393
-1,0.004634397528321318,0.6349614395886889,0.665955086431116,0.9657073115199393
-1,0.004634397528321318,0.6401028277634961,0.6632277880689194,0.9657073115199393
-1,0.004891864057672502,0.6401028277634961,0.66310930694242,0.9657073115199393
-1,0.004891864057672502,0.6529562982005142,0.6602717089724127,0.9657073115199393
-1,0.005149330587023687,0.6529562982005142,0.6601582539334963,0.9657073115199393
-1,0.005149330587023687,0.6658097686375322,0.6520161328316977,0.9657073115199393
-1,0.005406797116374871,0.6658097686375322,0.6519943696135254,0.9657073115199393
-1,0.005406797116374871,0.6786632390745502,0.64179754052653,0.9657073115199393
-1,0.005664263645726055,0.6786632390745502,0.6399671471413463,0.9657073115199393
-1,0.005664263645726055,0.6863753213367609,0.6291227514917427,0.9657073115199393
-1,0.00592173017507724,0.6863753213367609,0.6273269853440054,0.9657073115199393
-1,0.00592173017507724,0.6889460154241646,0.6267630978525712,0.9657073115199393
-1,0.00592173017507724,0.6966580976863753,0.6233764186685407,0.9657073115199393
-1,0.00592173017507724,0.7043701799485861,0.6198677085964815,0.9657073115199393
-1,0.006179196704428424,0.7043701799485861,0.61927030262763,0.9657073115199393
-1,0.006179196704428424,0.7069408740359897,0.6187559319553078,0.9657073115199393
-1,0.006694129763130793,0.7069408740359897,0.6162933062245419,0.9657073115199393
-1,0.006694129763130793,0.712082262210797,0.6125889318195323,0.9657073115199393
-1,0.006951596292481977,0.712082262210797,0.609048714210249,0.9657073115199393
-1,0.006951596292481977,0.7146529562982005,0.6079966034861913,0.9657073115199393
-1,0.007209062821833162,0.7146529562982005,0.6078296323614226,0.9657073115199393
